Name,Geographic Level,Income Classification (DOF DO No. 074.2024),2024 Population,Name_Normalized
General Luna,Mun,3rd,25110.0,general luna
General Nakar,Mun,1st,34982.0,general nakar
Guinayangan,Mun,1st,45375.0,guinayangan
Gumaca,Mun,1st,72454.0,gumaca
Infanta,Mun,1st,77676.0,infanta
Jomalig,Mun,5th,7884.0,jomalig
Lopez,Mun,1st,96006.0,lopez
Lucban,Mun,1st,54134.0,lucban
Macalelon,Mun,3rd,25266.0,macalelon
Mauban,Mun,1st,70135.0,mauban
Mulanay,Mun,1st,53976.0,mulanay
Padre Burgos,Mun,4th,23392.0,padre burgos
Pagbilao,Mun,1st,82132.0,pagbilao
Panukulan,Mun,3rd,17118.0,panukulan
Patnanungan,Mun,4th,15554.0,patnanungan
Perez,Mun,4th,13052.0,perez
Pitogo,Mun,4th,22499.0,pitogo
Plaridel,Mun,5th,10866.0,plaridel
Polillo,Mun,1st,31737.0,polillo
Quezon,Mun,4th,15869.0,quezon
Real,Mun,1st,39969.0,real
Sampaloc,Mun,4th,13331.0,sampaloc
San Andres,Mun,2nd,38407.0,san andres
San Antonio,Mun,3rd,36451.0,san antonio
San Francisco,Mun,1st,63789.0,san francisco
San Narciso,Mun,1st,53375.0,san narciso
Sariaya,Mun,1st,172018.0,sariaya
Tagkawayan,Mun,1st,54709.0,tagkawayan
City of Tayabas,City,3rd,115318.0,tayabas
Tiaong,Mun,1st,107666.0,tiaong
Unisan,Mun,3rd,25357.0,unisan
Angono,Mun,1st,134975.0,angono
City of Antipolo ,City,1st,913712.0,antipolo
Baras,Mun,1st,91099.0,baras
Binangonan,Mun,1st,321281.0,binangonan
Cainta,Mun,1st,386321.0,cainta
Cardona,Mun,2nd,51493.0,cardona
Jala-Jala,Mun,3rd,34901.0,jala-jala
Rodriguez,Mun,1st,451383.0,rodriguez
Morong,Mun,1st,72262.0,morong
Pililla,Mun,1st,72503.0,pililla
San Mateo,Mun,1st,276449.0,san mateo
Tanay,Mun,1st,145597.0,tanay
Taytay,Mun,1st,397111.0,taytay
Teresa,Mun,1st,67454.0,teresa
City of Lucena ,City,1st,280331.0,lucena
Boac ,Mun,1st,54365.0,boac
Buenavista,Mun,4th,24136.0,buenavista
Gasan,Mun,2nd,35315.0,gasan
Mogpog,Mun,2nd,32577.0,mogpog
Santa Cruz,Mun,1st,51594.0,santa cruz
Torrijos,Mun,2nd,28535.0,torrijos
Abra De Ilog,Mun,1st,31910.0,abra de ilog
Calintaan,Mun,1st,31088.0,calintaan
Looc,Mun,4th,9426.0,looc
Lubang,Mun,4th,18761.0,lubang
Magsaysay,Mun,1st,40987.0,magsaysay
Mamburao ,Mun,1st,44554.0,mamburao
Paluan,Mun,1st,19461.0,paluan
Rizal,Mun,2nd,40319.0,rizal
Sablayan,Mun,1st,91406.0,sablayan
San Jose,Mun,1st,143495.0,san jose
Santa Cruz,Mun,1st,40010.0,santa cruz
Baco,Mun,1st,40159.0,baco
Bansud,Mun,1st,44396.0,bansud
Bongabong,Mun,1st,77540.0,bongabong
Bulalacao,Mun,1st,46439.0,bulalacao
City of Calapan ,City,2nd,148558.0,calapan
Gloria,Mun,1st,52296.0,gloria
Mansalay,Mun,1st,60597.0,mansalay
Naujan,Mun,1st,109122.0,naujan
Pinamalayan,Mun,1st,90420.0,pinamalayan
Pola,Mun,2nd,35771.0,pola
Puerto Galera,Mun,1st,42301.0,puerto galera
Roxas,Mun,1st,58428.0,roxas
San Teodoro,Mun,2nd,19650.0,san teodoro
Socorro,Mun,2nd,41612.0,socorro
Victoria,Mun,1st,52215.0,victoria
Aborlan,Mun,1st,39972.0,aborlan
Agutaya,Mun,5th,13351.0,agutaya
Araceli,Mun,3rd,14554.0,araceli
Balabac,Mun,1st,42662.0,balabac
Bataraza,Mun,1st,87384.0,bataraza
Brooke's Point,Mun,1st,76715.0,brooke's point
Busuanga,Mun,1st,26974.0,busuanga
Cagayancillo,Mun,5th,7164.0,cagayancillo
Coron,Mun,1st,69439.0,coron
Cuyo,Mun,3rd,24702.0,cuyo
Dumaran,Mun,1st,23795.0,dumaran
El Nido,Mun,1st,51367.0,el nido
Linapacan,Mun,3rd,16782.0,linapacan
Magsaysay,Mun,4th,13273.0,magsaysay
Narra,Mun,1st,80572.0,narra
Quezon,Mun,1st,68532.0,quezon
Roxas,Mun,1st,69729.0,roxas
San Vicente,Mun,1st,33768.0,san vicente
Taytay,Mun,1st,85258.0,taytay
Kalayaan,Mun,4th,406.0,kalayaan
Culion,Mun,1st,23985.0,culion
Dr. Jose P. Rizal,Mun,1st,59040.0,dr. jose p. rizal
Sofronio Española,Mun,1st,39371.0,sofronio española
Alcantara,Mun,4th,16417.0,alcantara
Banton,Mun,5th,5848.0,banton
Cajidiocan,Mun,3rd,23488.0,cajidiocan
Calatrava,Mun,4th,11254.0,calatrava
Concepcion,Mun,5th,3427.0,concepcion
Corcuera,Mun,5th,9021.0,corcuera
Looc,Mun,3rd,21964.0,looc
Magdiwang,Mun,4th,15170.0,magdiwang
Odiongan,Mun,1st,48133.0,odiongan
Romblon ,Mun,2nd,39004.0,romblon
San Agustin,Mun,3rd,23698.0,san agustin
San Andres,Mun,4th,16350.0,san andres
San Fernando,Mun,3rd,23660.0,san fernando
San Jose,Mun,5th,11626.0,san jose
Santa Fe,Mun,4th,17578.0,santa fe
Ferrol,Mun,5th,7826.0,ferrol
Santa Maria,Mun,5th,8360.0,santa maria
City of Puerto Princesa ,City,1st,316384.0,puerto princesa
Bacacay,Mun,1st,72298.0,bacacay
Camalig,Mun,1st,73087.0,camalig
Daraga,Mun,1st,138000.0,daraga
Guinobatan,Mun,1st,84420.0,guinobatan
Jovellar,Mun,4th,17538.0,jovellar
City of Legazpi ,City,1st,210616.0,legazpi
Libon,Mun,1st,72135.0,libon
City of Ligao,City,3rd,119779.0,ligao
Malilipot,Mun,1st,41066.0,malilipot
Malinao,Mun,2nd,49570.0,malinao
Manito,Mun,2nd,26425.0,manito
Oas,Mun,1st,64890.0,oas
Pio Duran,Mun,1st,48713.0,pio duran
Polangui,Mun,1st,89344.0,polangui
Rapu-Rapu,Mun,2nd,36281.0,rapu-rapu
Santo Domingo,Mun,2nd,37586.0,santo domingo
City of Tabaco,City,3rd,140779.0,tabaco
Tiwi,Mun,1st,56871.0,tiwi
Basud,Mun,1st,43388.0,basud
Capalonga,Mun,1st,32800.0,capalonga
Daet ,Mun,1st,106465.0,daet
San Lorenzo Ruiz,Mun,5th,15072.0,san lorenzo ruiz
Jose Panganiban,Mun,1st,60626.0,jose panganiban
Labo,Mun,1st,108319.0,labo
Mercedes,Mun,1st,53702.0,mercedes
Paracale,Mun,1st,58391.0,paracale
San Vicente,Mun,4th,11774.0,san vicente
Santa Elena,Mun,1st,42585.0,santa elena
Talisay,Mun,4th,26371.0,talisay
Vinzons,Mun,2nd,45173.0,vinzons
Baao,Mun,1st,61357.0,baao
Balatan,Mun,3rd,31069.0,balatan
Bato,Mun,2nd,52021.0,bato
Bombon,Mun,4th,17346.0,bombon
Buhi,Mun,1st,78104.0,buhi
Bula,Mun,1st,75943.0,bula
Cabusao,Mun,4th,18882.0,cabusao
Calabanga,Mun,1st,88918.0,calabanga
Camaligan,Mun,4th,25218.0,camaligan
Canaman,Mun,3rd,35766.0,canaman
Caramoan,Mun,1st,50433.0,caramoan
Del Gallego,Mun,3rd,26029.0,del gallego
Gainza,Mun,5th,11652.0,gainza
Garchitorena,Mun,2nd,29408.0,garchitorena
Goa,Mun,1st,71651.0,goa
City of Iriga,City,3rd,115306.0,iriga
Lagonoy,Mun,1st,57044.0,lagonoy
Libmanan,Mun,1st,113254.0,libmanan
Lupi,Mun,2nd,33474.0,lupi
Magarao,Mun,4th,28197.0,magarao
Milaor,Mun,3rd,33680.0,milaor
Minalabac,Mun,1st,51841.0,minalabac
Nabua,Mun,1st,86458.0,nabua
City of Naga,City,1st,210545.0,naga
Ocampo,Mun,2nd,49535.0,ocampo
Pamplona,Mun,3rd,38556.0,pamplona
Pasacao,Mun,1st,50708.0,pasacao
Pili ,Mun,1st,101668.0,pili
Presentacion,Mun,3rd,23323.0,presentacion
Ragay,Mun,1st,58843.0,ragay
Sagñay,Mun,2nd,37087.0,sagñay
San Fernando,Mun,2nd,39206.0,san fernando
San Jose,Mun,3rd,44688.0,san jose
Sipocot,Mun,1st,65286.0,sipocot
Siruma,Mun,4th,19168.0,siruma
Tigaon,Mun,1st,61790.0,tigaon
Tinambac,Mun,1st,69860.0,tinambac
Bagamanoc,Mun,4th,10403.0,bagamanoc
Baras,Mun,4th,12992.0,baras
Bato,Mun,4th,21325.0,bato
Caramoran,Mun,2nd,30124.0,caramoran
Gigmoto,Mun,4th,8348.0,gigmoto
Pandan,Mun,4th,20796.0,pandan
Panganiban,Mun,4th,8947.0,panganiban
San Andres,Mun,2nd,37157.0,san andres
San Miguel,Mun,4th,14578.0,san miguel
Viga,Mun,3rd,21364.0,viga
Virac ,Mun,1st,75135.0,virac
Aroroy,Mun,1st,89154.0,aroroy
Baleno,Mun,2nd,28787.0,baleno
Balud,Mun,2nd,40236.0,balud
Batuan,Mun,4th,15614.0,batuan
Cataingan,Mun,1st,51165.0,cataingan
Cawayan,Mun,1st,68510.0,cawayan
Claveria,Mun,1st,40733.0,claveria
Dimasalang,Mun,3rd,25054.0,dimasalang
Esperanza,Mun,4th,18021.0,esperanza
Mandaon,Mun,1st,44177.0,mandaon
City of Masbate ,City,3rd,104011.0,masbate
Milagros,Mun,1st,57362.0,milagros
Mobo,Mun,2nd,41199.0,mobo
Monreal,Mun,3rd,25843.0,monreal
Palanas,Mun,3rd,28133.0,palanas
Pio V. Corpus,Mun,4th,23641.0,pio v. corpus
Placer,Mun,1st,56658.0,placer
San Fernando,Mun,4th,22006.0,san fernando
San Jacinto,Mun,3rd,29458.0,san jacinto
San Pascual,Mun,1st,44641.0,san pascual
Uson,Mun,1st,56410.0,uson
Barcelona,Mun,4th,21911.0,barcelona
Bulan,Mun,1st,106919.0,bulan
Bulusan,Mun,3rd,24152.0,bulusan
Casiguran,Mun,3rd,36464.0,casiguran
Castilla,Mun,1st,61308.0,castilla
Donsol,Mun,1st,51781.0,donsol
Gubat,Mun,1st,61095.0,gubat
Irosin,Mun,1st,59540.0,irosin
Juban,Mun,2nd,35978.0,juban
Magallanes,Mun,2nd,38072.0,magallanes
Matnog,Mun,1st,42444.0,matnog
Pilar,Mun,1st,76908.0,pilar
Prieto Diaz,Mun,4th,23424.0,prieto diaz
Santa Magdalena,Mun,4th,17400.0,santa magdalena
City of Sorsogon ,City,2nd,187670.0,sorsogon
Altavas,Mun,3rd,26181.0,altavas
Balete,Mun,3rd,30310.0,balete
Banga,Mun,2nd,41188.0,banga
Batan,Mun,3rd,33932.0,batan
Buruanga,Mun,4th,19878.0,buruanga
Ibajay,Mun,1st,53399.0,ibajay
Kalibo ,Mun,1st,93218.0,kalibo
Lezo,Mun,4th,16200.0,lezo
Libacao,Mun,2nd,28525.0,libacao
Madalag,Mun,3rd,19043.0,madalag
Makato,Mun,3rd,30650.0,makato
Malay,Mun,1st,64723.0,malay
Malinao,Mun,3rd,24971.0,malinao
Nabas,Mun,2nd,41568.0,nabas
New Washington,Mun,2nd,49204.0,new washington
Numancia,Mun,3rd,37428.0,numancia
Tangalan,Mun,4th,24004.0,tangalan
Anini-Y,Mun,4th,22713.0,anini-y
Barbaza,Mun,3rd,24925.0,barbaza
Belison,Mun,5th,14433.0,belison
Bugasong,Mun,2nd,36060.0,bugasong
Caluya,Mun,1st,42895.0,caluya
Culasi,Mun,1st,46442.0,culasi
Tobias Fornier,Mun,3rd,34411.0,tobias fornier
Hamtic,Mun,2nd,54455.0,hamtic
Laua-An,Mun,3rd,28177.0,laua-an
Libertad,Mun,4th,18685.0,libertad
Pandan,Mun,2nd,37325.0,pandan
Patnongon,Mun,2nd,40070.0,patnongon
San Jose ,Mun,1st,69522.0,san jose
San Remigio,Mun,1st,36170.0,san remigio
Sebaste,Mun,3rd,19365.0,sebaste
Sibalom,Mun,1st,67155.0,sibalom
Tibiao,Mun,2nd,29608.0,tibiao
Valderrama,Mun,2nd,20762.0,valderrama
Cuartero,Mun,3rd,28650.0,cuartero
Dao,Mun,3rd,34555.0,dao
Dumalag,Mun,3rd,30872.0,dumalag
Dumarao,Mun,1st,51633.0,dumarao
Ivisan,Mun,3rd,32853.0,ivisan
Jamindan,Mun,1st,40472.0,jamindan
Ma-Ayon,Mun,2nd,42997.0,ma-ayon
Mambusao,Mun,2nd,41768.0,mambusao
Panay,Mun,2nd,50946.0,panay
Panitan,Mun,2nd,44246.0,panitan
Pilar,Mun,2nd,48789.0,pilar
Pontevedra,Mun,1st,51956.0,pontevedra
President Roxas,Mun,3rd,32436.0,president roxas
City of Roxas ,City,2nd,185236.0,roxas
Sapi-An,Mun,3rd,27377.0,sapi-an
Sigma,Mun,3rd,32628.0,sigma
Tapaz,Mun,1st,57684.0,tapaz
Ajuy,Mun,1st,54100.0,ajuy
Alimodian,Mun,2nd,39814.0,alimodian
Anilao,Mun,3rd,30612.0,anilao
Badiangan,Mun,4th,27088.0,badiangan
Balasan,Mun,2nd,35193.0,balasan
Banate,Mun,2nd,33790.0,banate
Barotac Nuevo,Mun,1st,59184.0,barotac nuevo
Barotac Viejo,Mun,1st,49736.0,barotac viejo
Batad,Mun,4th,22174.0,batad
Bingawan,Mun,4th,16247.0,bingawan
Cabatuan,Mun,1st,62717.0,cabatuan
Calinog,Mun,1st,63896.0,calinog
Carles,Mun,1st,74177.0,carles
Concepcion,Mun,1st,45737.0,concepcion
Dingle,Mun,1st,46032.0,dingle
Dueñas,Mun,3rd,34941.0,dueñas
Dumangas,Mun,1st,75239.0,dumangas
Estancia,Mun,1st,54882.0,estancia
Guimbal,Mun,3rd,35129.0,guimbal
Igbaras,Mun,2nd,32442.0,igbaras
Janiuay,Mun,1st,67509.0,janiuay
Lambunao,Mun,1st,80724.0,lambunao
Leganes,Mun,2nd,36542.0,leganes
Lemery,Mun,3rd,32836.0,lemery
Leon,Mun,1st,52777.0,leon
Maasin,Mun,2nd,38761.0,maasin
Miagao,Mun,1st,68163.0,miagao
Mina,Mun,4th,24145.0,mina
New Lucena,Mun,4th,24785.0,new lucena
Oton,Mun,1st,99920.0,oton
City of Passi,City,3rd,90313.0,passi
Pavia,Mun,1st,74594.0,pavia
Pototan,Mun,1st,78919.0,pototan
San Dionisio,Mun,2nd,39423.0,san dionisio
San Enrique,Mun,2nd,37381.0,san enrique
San Joaquin,Mun,1st,52773.0,san joaquin
San Miguel,Mun,3rd,31093.0,san miguel
San Rafael,Mun,4th,18293.0,san rafael
Santa Barbara,Mun,1st,68467.0,santa barbara
Sara,Mun,1st,55476.0,sara
Tigbauan,Mun,1st,65657.0,tigbauan
Tubungan,Mun,4th,23083.0,tubungan
Zarraga,Mun,3rd,27852.0,zarraga
Buenavista,Mun,1st,54352.0,buenavista
Jordan ,Mun,2nd,40647.0,jordan
Nueva Valencia,Mun,2nd,43822.0,nueva valencia
San Lorenzo,Mun,3rd,30266.0,san lorenzo
Sibunag,Mun,3rd,23787.0,sibunag
City of Iloilo ,City,1st,473728.0,iloilo
City of Bago,City,1st,192993.0,bago
Binalbagan,Mun,1st,72594.0,binalbagan
City of Cadiz,City,1st,161558.0,cadiz
Calatrava,Mun,1st,83813.0,calatrava
Candoni,Mun,3rd,22083.0,candoni
Cauayan,Mun,1st,110899.0,cauayan
Enrique B. Magalona,Mun,1st,65730.0,enrique b. magalona
City of Escalante,City,3rd,97050.0,escalante
City of Himamaylan,City,2nd,117286.0,himamaylan
Hinigaran,Mun,1st,90403.0,hinigaran
Hinoba-an,Mun,1st,64364.0,hinoba-an
Ilog,Mun,1st,63444.0,ilog
Isabela,Mun,1st,65399.0,isabela
City of Kabankalan,City,1st,210893.0,kabankalan
City of La Carlota,City,4th,67740.0,la carlota
La Castellana,Mun,1st,82500.0,la castellana
Manapla,Mun,1st,55882.0,manapla
Moises Padilla,Mun,2nd,44864.0,moises padilla
Murcia,Mun,1st,90123.0,murcia
Pontevedra,Mun,1st,54941.0,pontevedra
Pulupandan,Mun,3rd,31942.0,pulupandan
City of Sagay,City,2nd,152543.0,sagay
City of San Carlos,City,1st,133175.0,san carlos
San Enrique,Mun,4th,24424.0,san enrique
City of Silay,City,3rd,136802.0,silay
City of Sipalay,City,3rd,73847.0,sipalay
City of Talisay,City,3rd,109204.0,talisay
Toboso,Mun,2nd,44973.0,toboso
Valladolid,Mun,2nd,40487.0,valladolid
City of Victorias,City,4th,90290.0,victorias
Salvador Benedicto,Mun,3rd,28231.0,salvador benedicto
Amlan,Mun,3rd,26566.0,amlan
Ayungon,Mun,1st,50688.0,ayungon
Bacong,Mun,2nd,43889.0,bacong
City of Bais,City,3rd,88050.0,bais
Basay,Mun,3rd,30018.0,basay
City of Bayawan,City,1st,126744.0,bayawan
Bindoy,Mun,2nd,41543.0,bindoy
City of Canlaon,City,4th,62785.0,canlaon
Dauin,Mun,2nd,30921.0,dauin
City of Dumaguete ,City,2nd,142171.0,dumaguete
City of Guihulngan,City,2nd,106576.0,guihulngan
Jimalalud,Mun,3rd,32996.0,jimalalud
La Libertad,Mun,2nd,42721.0,la libertad
Mabinay,Mun,1st,85770.0,mabinay
Manjuyod,Mun,1st,46461.0,manjuyod
Pamplona,Mun,2nd,41209.0,pamplona
San Jose,Mun,4th,22870.0,san jose
Santa Catalina,Mun,1st,80382.0,santa catalina
Siaton,Mun,1st,84169.0,siaton
Sibulan,Mun,1st,69092.0,sibulan
City of Tanjay,City,3rd,84593.0,tanjay
Tayasan,Mun,2nd,39005.0,tayasan
Valencia,Mun,1st,39986.0,valencia
Vallehermoso,Mun,2nd,42421.0,vallehermoso
Zamboanguita,Mun,3rd,30412.0,zamboanguita
Enrique Villanueva,Mun,5th,6965.0,enrique villanueva
Larena,Mun,4th,14933.0,larena
Lazi,Mun,4th,23092.0,lazi
Maria,Mun,4th,15146.0,maria
San Juan,Mun,4th,17291.0,san juan
Siquijor ,Mun,3rd,30215.0,siquijor
City of Bacolod ,City,1st,624787.0,bacolod
Alburquerque,Mun,4th,11489.0,alburquerque
Alicia,Mun,3rd,24663.0,alicia
Anda,Mun,4th,17835.0,anda
Antequera,Mun,4th,14881.0,antequera
Baclayon,Mun,4th,22754.0,baclayon
Balilihan,Mun,3rd,19747.0,balilihan
Batuan,Mun,4th,14423.0,batuan
Bilar,Mun,4th,18877.0,bilar
Buenavista,Mun,1st,31095.0,buenavista
Calape,Mun,2nd,33022.0,calape
Candijay,Mun,3rd,30142.0,candijay
Carmen,Mun,1st,50249.0,carmen
Catigbian,Mun,3rd,23812.0,catigbian
Clarin,Mun,4th,21318.0,clarin
Corella,Mun,4th,9889.0,corella
Cortes,Mun,4th,18976.0,cortes
Dagohoy,Mun,4th,20068.0,dagohoy
Danao,Mun,3rd,20299.0,danao
Dauis,Mun,1st,53864.0,dauis
Dimiao,Mun,4th,14894.0,dimiao
Duero,Mun,4th,19136.0,duero
Garcia Hernandez,Mun,3rd,24450.0,garcia hernandez
Guindulman,Mun,2nd,34660.0,guindulman
Inabanga,Mun,1st,49133.0,inabanga
Jagna,Mun,2nd,36674.0,jagna
Getafe,Mun,2nd,33485.0,getafe
Lila,Mun,4th,11450.0,lila
Loay,Mun,4th,17957.0,loay
Loboc,Mun,3rd,17338.0,loboc
Loon,Mun,1st,43857.0,loon
Mabini,Mun,3rd,28224.0,mabini
Maribojoc,Mun,3rd,22268.0,maribojoc
Panglao,Mun,1st,41760.0,panglao
Pilar,Mun,3rd,28860.0,pilar
President Carlos P. Garcia,Mun,3rd,23858.0,president carlos p. garcia
Sagbayan,Mun,3rd,25329.0,sagbayan
San Isidro,Mun,5th,10228.0,san isidro
San Miguel,Mun,2nd,26124.0,san miguel
Sevilla,Mun,4th,11425.0,sevilla
Sierra Bullones,Mun,2nd,26154.0,sierra bullones
Sikatuna,Mun,5th,7031.0,sikatuna
City of Tagbilaran ,City,2nd,106120.0,tagbilaran
Talibon,Mun,1st,71450.0,talibon
Trinidad,Mun,1st,37191.0,trinidad
Tubigon,Mun,1st,49275.0,tubigon
Ubay,Mun,1st,82179.0,ubay
Valencia,Mun,3rd,28535.0,valencia
Bien Unido,Mun,4th,26278.0,bien unido
Alcantara,Mun,4th,17490.0,alcantara
Alcoy,Mun,4th,19207.0,alcoy
Alegria,Mun,3rd,26520.0,alegria
Aloguinsan,Mun,3rd,34990.0,aloguinsan
Argao,Mun,1st,78111.0,argao
Asturias,Mun,1st,54777.0,asturias
Badian,Mun,1st,44626.0,badian
Balamban,Mun,1st,98170.0,balamban
Bantayan,Mun,1st,87394.0,bantayan
Barili,Mun,1st,82427.0,barili
City of Bogo,City,4th,90187.0,bogo
Boljoon,Mun,4th,17153.0,boljoon
Borbon,Mun,2nd,40097.0,borbon
City of Carcar,City,3rd,140308.0,carcar
Carmen,Mun,1st,60230.0,carmen
Catmon,Mun,2nd,34608.0,catmon
Compostela,Mun,1st,58178.0,compostela
Consolacion,Mun,1st,153931.0,consolacion
Cordova,Mun,1st,72915.0,cordova
Daanbantayan,Mun,1st,95080.0,daanbantayan
Dalaguete,Mun,1st,75937.0,dalaguete
Danao City,City,2nd,161307.0,danao
Dumanjug,Mun,1st,59954.0,dumanjug
Ginatilan,Mun,4th,17184.0,ginatilan
Liloan,Mun,1st,158387.0,liloan
Madridejos,Mun,1st,42828.0,madridejos
Malabuyoc,Mun,4th,20378.0,malabuyoc
Medellin,Mun,1st,62163.0,medellin
Minglanilla,Mun,1st,155934.0,minglanilla
Moalboal,Mun,1st,37993.0,moalboal
City of Naga,City,3rd,138727.0,naga
Oslob,Mun,1st,29378.0,oslob
Pilar,Mun,5th,12454.0,pilar
Pinamungajan,Mun,1st,76568.0,pinamungajan
Poro,Mun,3rd,26908.0,poro
Ronda,Mun,4th,21179.0,ronda
Samboan,Mun,4th,20736.0,samboan
San Fernando,Mun,1st,76110.0,san fernando
San Francisco,Mun,1st,61092.0,san francisco
San Remigio,Mun,1st,67850.0,san remigio
Santa Fe,Mun,3rd,34834.0,santa fe
Santander,Mun,4th,18669.0,santander
Sibonga,Mun,1st,54610.0,sibonga
Sogod,Mun,2nd,40746.0,sogod
Tabogon,Mun,2nd,42066.0,tabogon
Tabuelan,Mun,2nd,29662.0,tabuelan
City of Talisay,City,1st,263832.0,talisay
City of Toledo,City,1st,206692.0,toledo
Tuburan,Mun,1st,68307.0,tuburan
Tudela,Mun,4th,11638.0,tudela
City of Cebu ,City,1st,965332.0,cebu
City of Lapu-Lapu,City,1st,497813.0,lapu-lapu
City of Mandaue,City,1st,364482.0,mandaue
Arteche,Mun,4th*,16648.0,arteche
Balangiga,Mun,3rd,14473.0,balangiga
Balangkayan,Mun,4th,10014.0,balangkayan
City of Borongan ,City,2nd,71431.0,borongan
Can-Avid,Mun,2nd,21942.0,can-avid
Dolores,Mun,1st,45314.0,dolores
General Macarthur,Mun,4th,14606.0,general macarthur
Giporlos,Mun,4th,12974.0,giporlos
Guiuan,Mun,1st,52749.0,guiuan
Hernani,Mun,5th,8296.0,hernani
Jipapad,Mun,4th,8726.0,jipapad
Lawaan,Mun,4th,13063.0,lawaan
Llorente,Mun,1st,18909.0,llorente
Maslog,Mun,4th,5438.0,maslog
Maydolong,Mun,2nd,15456.0,maydolong
Mercedes,Mun,5th,6114.0,mercedes
Oras,Mun,2nd,35997.0,oras
Quinapondan,Mun,4th,14624.0,quinapondan
Salcedo,Mun,3rd,21335.0,salcedo
San Julian,Mun,4th,14509.0,san julian
San Policarpo,Mun,4th,15597.0,san policarpo
Sulat,Mun,4th,15776.0,sulat
Taft,Mun,3rd,18692.0,taft
Abuyog,Mun,1st,61854.0,abuyog
Alangalang,Mun,1st,59063.0,alangalang
Albuera,Mun,1st,47333.0,albuera
Babatngon,Mun,3rd,29587.0,babatngon
Barugo,Mun,3rd,35402.0,barugo
Bato,Mun,2nd,39275.0,bato
City of Baybay,City,1st,114708.0,baybay
Burauen,Mun,1st,54635.0,burauen
Calubian,Mun,3rd,31990.0,calubian
Capoocan,Mun,2nd,34388.0,capoocan
Carigara,Mun,1st,56060.0,carigara
Dagami,Mun,2nd,36700.0,dagami
Dulag,Mun,2nd,50728.0,dulag
Hilongos,Mun,1st,66774.0,hilongos
Hindang,Mun,4th,21520.0,hindang
Inopacan,Mun,4th,21629.0,inopacan
Isabel,Mun,1st,46858.0,isabel
Jaro,Mun,1st,44643.0,jaro
Javier,Mun,3rd,27759.0,javier
Julita,Mun,4th,16053.0,julita
Kananga,Mun,1st,60885.0,kananga
La Paz,Mun,4th,19797.0,la paz
Leyte,Mun,2nd,40622.0,leyte
Macarthur,Mun,4th,22256.0,macarthur
Mahaplag,Mun,3rd,28424.0,mahaplag
Matag-Ob,Mun,4th,18618.0,matag-ob
Matalom,Mun,2nd,32604.0,matalom
Mayorga,Mun,4th,18713.0,mayorga
Merida,Mun,3rd,32373.0,merida
Ormoc City,City,1st,238545.0,ormoc
Palo,Mun,1st,80291.0,palo
Palompon,Mun,1st,59486.0,palompon
Pastrana,Mun,4th,20327.0,pastrana
San Isidro,Mun,3rd,30792.0,san isidro
San Miguel,Mun,3rd,20322.0,san miguel
Santa Fe,Mun,4th,22889.0,santa fe
Tabango,Mun,3rd,33888.0,tabango
Tabontabon,Mun,5th,12157.0,tabontabon
Tanauan,Mun,1st,60212.0,tanauan
Tolosa,Mun,4th,22016.0,tolosa
Tunga,Mun,5th,8301.0,tunga
Villaba,Mun,2nd,42981.0,villaba
Allen,Mun,4th,26527.0,allen
